LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PTS_PAINT,PTS_2ND_CHANCE,PTS_FB,LARGEST_LEAD,LEAD_CHANGES,TIMES_TIED,TEAM_TURNOVERS,TOTAL_TURNOVERS,TEAM_REBOUNDS,PTS_OFF_TO
00,1610612759,SAS,San Antonio,38,13,11,43,0,1,0,15,8,18
00,1610612743,DEN,Denver,38,8,18,17,15,4,0,18,13,13
00,1610612742,DAL,Dallas,32,4,14,3,14,4,1,12,11,13
00,1610612757,POR,Portland,36,18,13,15,8,9,0,15,6,13
00,1610612744,GSW,Golden State,34,4,15,14,8,9,0,19,10,27
00,1610612765,DET,Detroit,56,10,13,16,13,6,1,10,11,12
00,1610612751,BKN,Brooklyn,22,6,5,10,13,6,1,18,11,29
00,1610612741,CHI,Chicago,30,6,7,2,1,1,1,15,7,19
00,1610612746,LAC,Los Angeles,36,8,20,42,1,1,0,9,4,9
00,1610612756,PHX,Phoenix,42,13,18,14,1,3,0,9,5,9
00,1610612753,ORL,Orlando,50,8,6,2,1,3,0,12,8,10
00,1610612760,OKC,Oklahoma City,46,5,22,37,1,2,1,17,5,18
00,1610612762,UTA,Utah,28,6,15,3,1,2,0,18,14,14
00,1610612747,LAL,Los Angeles,46,14,20,19,10,3,0,10,7,6
00,1610612758,SAC,Sacramento,40,7,10,2,10,3,1,14,13,10
00,1610612738,BOS,Boston,34,10,7,12,4,4,1,12,7,19
00,1610612766,CHA,Charlotte,32,11,9,10,4,4,1,17,10,17
00,1610612754,IND,Indiana,52,5,16,18,5,6,1,21,7,17
00,1610612750,MIN,Minnesota,36,13,6,3,5,6,0,19,13,22
00,1610612749,MIL,Milwaukee,42,8,19,0,0,0,2,20,8,26
00,1610612765,DET,Detroit,40,2,24,34,0,0,0,10,5,8
00,1610612748,MIA,Miami,52,11,16,16,4,7,0,14,5,20
00,1610612756,PHX,Phoenix,40,13,8,5,4,7,3,18,10,14
00,1610612745,HOU,Houston,52,11,20,9,2,6,2,20,11,19
00,1610612763,MEM,Memphis,46,16,6,14,2,6,1,16,6,24
00,1610612742,DAL,Dallas,46,13,8,11,2,2,0,13,8,16
00,1610612743,DEN,Denver,48,9,14,15,2,2,0,13,4,17
00,1610612759,SAS,San Antonio,54,11,17,32,2,5,0,19,5,18
00,1610612740,NOP,New Orleans,44,16,14,2,2,5,1,16,7,21
00,1610612741,CHI,Chicago,46,18,11,3,11,5,0,18,12,21
00,1610612762,UTA,Utah,38,15,14,12,11,5,2,17,5,19
00,1610612752,NYK,New York,28,10,4,0,0,3,0,9,6,11
00,1610612757,POR,Portland,40,15,16,22,0,3,1,9,6,15
00,1610612751,BKN,Brooklyn,48,10,10,15,6,5,1,16,3,17
00,1610612761,TOR,Toronto,28,14,11,5,6,5,1,16,9,21
00,1610612764,WAS,Washington,56,12,21,9,17,8,0,10,7,15
00,1610612747,LAL,Los Angeles,36,7,7,3,17,8,1,17,4,28
00,1610612737,ATL,Atlanta,26,6,10,8,7,2,0,14,8,16
00,1610612753,ORL,Orlando,46,12,14,24,7,2,1,13,5,11
00,1610612744,GSW,Golden State,48,16,12,15,12,9,0,10,12,12
00,1610612740,NOP,New Orleans,44,19,13,5,12,9,0,16,3,21
00,1610612754,IND,Indiana,30,16,16,27,0,3,0,15,14,6
00,1610612766,CHA,Charlotte,26,20,4,0,0,3,0,15,11,14
00,1610612753,ORL,Orlando,52,12,19,15,7,3,0,17,8,21
00,1610612755,PHI,Philadelphia,36,9,4,3,7,3,0,15,5,17
00,1610612738,BOS,Boston,48,20,11,3,1,0,0,15,8,14
00,1610612763,MEM,Memphis,40,15,18,19,1,0,0,8,9,10
00,1610612751,BKN,Brooklyn,32,17,10,0,0,1,0,12,8,14
00,1610612747,LAL,Los Angeles,30,8,20,27,0,1,2,12,12,15
00,1610612739,CLE,Cleveland,28,11,4,8,3,4,1,19,10,18
00,1610612748,MIA,Miami,50,4,17,15,3,4,1,15,5,14
00,1610612765,DET,Detroit,42,14,8,6,3,10,3,18,9,14
00,1610612741,CHI,Chicago,42,13,7,24,3,10,0,16,6,18
00,1610612745,HOU,Houston,46,11,11,29,0,2,0,13,8,15
00,1610612737,ATL,Atlanta,34,12,8,0,0,2,0,18,7,24
00,1610612764,WAS,Washington,32,6,11,8,22,15,1,20,6,24
00,1610612749,MIL,Milwaukee,30,7,13,9,22,15,2,24,9,29
00,1610612750,MIN,Minnesota,46,19,15,5,2,0,1,17,6,25
00,1610612743,DEN,Denver,60,19,20,15,2,0,1,13,12,17
00,1610612759,SAS,San Antonio,44,13,14,7,12,11,1,13,9,12
00,1610612760,OKC,Oklahoma City,40,14,16,11,12,11,0,16,4,16
00,1610612744,GSW,Golden State,32,17,6,2,1,2,1,19,9,30
00,1610612742,DAL,Dallas,42,10,19,17,1,2,0,6,5,7
00,1610612756,PHX,Phoenix,42,26,13,22,3,2,0,10,7,14
00,1610612757,POR,Portland,44,21,8,16,3,2,0,12,5,15
00,1610612752,NYK,New York,34,8,8,9,8,4,0,14,1,17
00,1610612746,LAC,Los Angeles,38,20,16,15,8,4,1,14,16,12
00,1610612749,MIL,Milwaukee,26,9,10,5,2,3,1,10,11,9
