GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
0021200045,1610612762,Jazz,UTA,Utah,240:00,0.833,0.167,0.745,0.191,0.16,0.191,0.096,0.191,0.553,0.457,0.543,0.8,0.2,0.5,0.5
0021200045,1610612763,Grizzlies,MEM,Memphis,240:00,0.846,0.154,0.641,0.058,0.146,0.194,0.214,0.126,0.583,0.485,0.515,1.0,0.0,0.553,0.447
0021200046,1610612757,Trail Blazers,POR,Portland,240:00,0.763,0.237,0.681,0.242,0.165,0.022,0.154,0.11,0.44,0.387,0.613,0.2,0.8,0.361,0.639
0021200046,1610612742,Mavericks,DAL,Dallas,240:00,0.744,0.256,0.667,0.193,0.263,0.211,0.07,0.114,0.474,0.5,0.5,1.0,0.0,0.604,0.396
0021200047,1610612759,Spurs,SAS,San Antonio,240:00,0.793,0.207,0.653,0.139,0.238,0.089,0.109,0.178,0.515,0.606,0.394,0.625,0.375,0.61,0.39
0021200047,1610612754,Pacers,IND,Indiana,240:00,0.747,0.253,0.532,0.228,0.228,0.177,0.241,0.101,0.304,0.381,0.619,0.5,0.5,0.407,0.593
0021200048,1610612758,Kings,SAC,Sacramento,240:00,0.765,0.235,0.702,0.234,0.128,0.128,0.17,0.17,0.468,0.303,0.697,0.75,0.25,0.351,0.649
0021200048,1610612744,Warriors,GSW,Golden State,240:00,0.731,0.269,0.543,0.152,0.196,0.207,0.261,0.163,0.391,0.64,0.36,0.833,0.167,0.677,0.323
0021200049,1610612746,Clippers,LAC,Los Angeles,240:00,0.662,0.338,0.594,0.119,0.267,0.168,0.139,0.198,0.475,0.5,0.5,0.889,0.111,0.59,0.41
0021200049,1610612739,Cavaliers,CLE,Cleveland,240:00,0.685,0.315,0.481,0.148,0.389,0.185,0.13,0.194,0.333,0.538,0.462,0.714,0.286,0.6,0.4
0021200050,1610612753,Magic,ORL,Orlando,240:00,0.779,0.221,0.602,0.28,0.258,0.097,0.14,0.14,0.323,0.536,0.464,1.0,0.0,0.639,0.361
0021200050,1610612741,Bulls,CHI,Chicago,240:00,0.929,0.071,0.768,0.424,0.061,0.091,0.172,0.101,0.343,0.684,0.316,0.5,0.5,0.675,0.325
0021200051,1610612761,Raptors,TOR,Toronto,240:00,0.643,0.357,0.523,0.136,0.239,0.216,0.239,0.261,0.386,0.391,0.609,1.0,0.0,0.533,0.467
0021200051,1610612760,Thunder,OKC,Oklahoma City,240:00,0.662,0.338,0.481,0.093,0.25,0.185,0.269,0.111,0.389,0.654,0.346,0.778,0.222,0.686,0.314
0021200052,1610612765,Pistons,DET,Detroit,240:00,0.846,0.154,0.598,0.144,0.186,0.093,0.216,0.144,0.454,0.724,0.276,0.833,0.167,0.743,0.257
0021200052,1610612743,Nuggets,DEN,Denver,240:00,0.674,0.326,0.569,0.055,0.275,0.128,0.156,0.174,0.514,0.516,0.484,0.7,0.3,0.561,0.439
0021200053,1610612756,Suns,PHX,Phoenix,240:00,0.71,0.29,0.53,0.171,0.308,0.145,0.162,0.103,0.359,0.645,0.355,0.75,0.25,0.674,0.326
0021200053,1610612766,Bobcats,CHA,Charlotte,240:00,0.747,0.253,0.509,0.127,0.273,0.136,0.218,0.145,0.382,0.571,0.429,1.0,0.0,0.684,0.316
0021200054,1610612764,Wizards,WAS,Washington,265:00,0.695,0.305,0.617,0.191,0.319,0.16,0.064,0.191,0.426,0.517,0.483,1.0,0.0,0.641,0.359
0021200054,1610612738,Celtics,BOS,Boston,265:00,0.84,0.16,0.6,0.28,0.12,0.16,0.28,0.25,0.32,0.767,0.233,0.75,0.25,0.765,0.235
0021200055,1610612754,Pacers,IND,Indiana,240:00,0.694,0.306,0.628,0.209,0.279,0.198,0.093,0.302,0.419,0.444,0.556,0.75,0.25,0.514,0.486
0021200055,1610612737,Hawks,ATL,Atlanta,240:00,0.747,0.253,0.697,0.157,0.236,0.146,0.067,0.202,0.539,0.548,0.452,1.0,0.0,0.632,0.368
