GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0021200083,1610612742,Mavericks,DAL,Dallas,265:00,0.462,0.38,0.184,0.154,0.437,0.295,0.173,0.387
0021200083,1610612766,Bobcats,CHA,Charlotte,265:00,0.437,0.295,0.173,0.339,0.462,0.38,0.184,0.25
0021200084,1610612750,Timberwolves,MIN,Minnesota,240:00,0.406,0.176,0.123,0.241,0.463,0.2,0.161,0.362
0021200084,1610612741,Bulls,CHI,Chicago,240:00,0.463,0.2,0.161,0.298,0.406,0.176,0.123,0.333
0021200085,1610612745,Rockets,HOU,Houston,240:00,0.457,0.317,0.149,0.157,0.444,0.2,0.191,0.24
0021200085,1610612765,Pistons,DET,Detroit,240:00,0.444,0.2,0.191,0.22,0.457,0.317,0.149,0.294
0021200086,1610612749,Bucks,MIL,Milwaukee,240:00,0.415,0.295,0.116,0.281,0.479,0.472,0.149,0.286
0021200086,1610612738,Celtics,BOS,Boston,240:00,0.479,0.472,0.149,0.167,0.415,0.295,0.116,0.333
0021200087,1610612762,Jazz,UTA,Utah,240:00,0.5,0.308,0.186,0.233,0.391,0.195,0.106,0.224
0021200087,1610612756,Suns,PHX,Phoenix,240:00,0.391,0.195,0.106,0.172,0.5,0.308,0.186,0.349
0021200088,1610612759,Spurs,SAS,San Antonio,240:00,0.621,0.443,0.213,0.182,0.528,0.213,0.149,0.333
0021200088,1610612757,Trail Blazers,POR,Portland,240:00,0.528,0.213,0.149,0.25,0.621,0.443,0.213,0.242
0021200089,1610612744,Warriors,GSW,Golden State,290:00,0.426,0.225,0.124,0.197,0.403,0.239,0.128,0.405
0021200089,1610612743,Nuggets,DEN,Denver,290:00,0.403,0.239,0.128,0.311,0.426,0.225,0.124,0.273
0021200090,1610612753,Magic,ORL,Orlando,240:00,0.363,0.214,0.129,0.196,0.417,0.321,0.163,0.315
0021200090,1610612751,Nets,BKN,Brooklyn,240:00,0.417,0.321,0.163,0.222,0.363,0.214,0.129,0.232
0021200091,1610612746,Clippers,LAC,Los Angeles,240:00,0.494,0.098,0.162,0.182,0.479,0.222,0.242,0.267
0021200091,1610612737,Hawks,ATL,Atlanta,240:00,0.479,0.222,0.242,0.222,0.494,0.098,0.162,0.273
0021200092,1610612748,Heat,MIA,Miami,240:00,0.405,0.456,0.149,0.283,0.523,0.186,0.155,0.327
0021200092,1610612763,Grizzlies,MEM,Memphis,240:00,0.523,0.186,0.155,0.224,0.405,0.456,0.149,0.358
0021200093,1610612760,Thunder,OKC,Oklahoma City,240:00,0.596,0.301,0.211,0.114,0.452,0.277,0.153,0.212
0021200093,1610612739,Cavaliers,CLE,Cleveland,240:00,0.452,0.277,0.153,0.192,0.596,0.301,0.211,0.171
0021200094,1610612758,Kings,SAC,Sacramento,240:00,0.439,0.156,0.137,0.255,0.494,0.37,0.191,0.479
0021200094,1610612747,Lakers,LAL,Los Angeles,240:00,0.494,0.37,0.191,0.375,0.439,0.156,0.137,0.345
0021200095,1610612762,Jazz,UTA,Utah,315:00,0.57,0.462,0.151,0.216,0.509,0.278,0.151,0.377
0021200095,1610612761,Raptors,TOR,Toronto,315:00,0.509,0.278,0.151,0.328,0.57,0.462,0.151,0.333
0021200096,1610612755,76ers,PHI,Philadelphia,240:00,0.494,0.188,0.146,0.077,0.556,0.225,0.219,0.25
0021200096,1610612749,Bucks,MIL,Milwaukee,240:00,0.556,0.225,0.219,0.15,0.494,0.188,0.146,0.135
0021200097,1610612760,Thunder,OKC,Oklahoma City,240:00,0.377,0.575,0.145,0.188,0.434,0.325,0.128,0.321
0021200097,1610612765,Pistons,DET,Detroit,240:00,0.434,0.325,0.128,0.232,0.377,0.575,0.145,0.375
0021200098,1610612741,Bulls,CHI,Chicago,240:00,0.48,0.419,0.15,0.182,0.525,0.198,0.089,0.15
0021200098,1610612738,Celtics,BOS,Boston,240:00,0.525,0.198,0.089,0.15,0.48,0.419,0.15,0.295
0021200099,1610612748,Heat,MIA,Miami,240:00,0.562,0.225,0.115,0.277,0.525,0.413,0.116,0.277
0021200099,1610612745,Rockets,HOU,Houston,240:00,0.525,0.413,0.116,0.234,0.562,0.225,0.115,0.34
0021200100,1610612750,Timberwolves,MIN,Minnesota,240:00,0.492,0.492,0.2,0.189,0.388,0.313,0.106,0.204
0021200100,1610612742,Mavericks,DAL,Dallas,240:00,0.388,0.313,0.106,0.13,0.492,0.492,0.2,0.216
0021200101,1610612756,Suns,PHX,Phoenix,240:00,0.495,0.223,0.064,0.278,0.586,0.237,0.167,0.25
0021200101,1610612743,Nuggets,DEN,Denver,240:00,0.586,0.237,0.167,0.225,0.495,0.223,0.064,0.352
0021200102,1610612757,Trail Blazers,POR,Portland,240:00,0.398,0.313,0.203,0.286,0.487,0.278,0.171,0.239
0021200102,1610612737,Hawks,ATL,Atlanta,240:00,0.487,0.278,0.171,0.13,0.398,0.313,0.203,0.357
0021200103,1610612764,Wizards,WAS,Washington,240:00,0.327,0.381,0.175,0.281,0.417,0.41,0.141,0.286
0021200103,1610612766,Bobcats,CHA,Charlotte,240:00,0.417,0.41,0.141,0.265,0.327,0.381,0.175,0.359
0021200104,1610612753,Magic,ORL,Orlando,240:00,0.527,0.227,0.214,0.214,0.542,0.131,0.098,0.209
0021200104,1610612752,Knicks,NYK,New York,240:00,0.542,0.131,0.098,0.14,0.527,0.227,0.214,0.31
0021200105,1610612761,Raptors,TOR,Toronto,240:00,0.403,0.264,0.162,0.167,0.353,0.333,0.143,0.283
0021200105,1610612754,Pacers,IND,Indiana,240:00,0.353,0.333,0.143,0.264,0.403,0.264,0.162,0.25
0021200106,1610612739,Cavaliers,CLE,Cleveland,240:00,0.454,0.299,0.127,0.32,0.578,0.403,0.142,0.351
0021200106,1610612751,Nets,BKN,Brooklyn,240:00,0.578,0.403,0.142,0.324,0.454,0.299,0.127,0.42
0021200107,1610612758,Kings,SAC,Sacramento,240:00,0.474,0.247,0.147,0.222,0.583,0.306,0.194,0.342
0021200107,1610612757,Trail Blazers,POR,Portland,240:00,0.583,0.306,0.194,0.289,0.474,0.247,0.147,0.222
0021200108,1610612759,Spurs,SAS,San Antonio,240:00,0.428,0.122,0.087,0.196,0.459,0.297,0.194,0.333
0021200108,1610612747,Lakers,LAL,Los Angeles,240:00,0.459,0.297,0.194,0.289,0.428,0.122,0.087,0.286
0021200109,1610612755,76ers,PHI,Philadelphia,240:00,0.327,0.381,0.044,0.18,0.5,0.425,0.194,0.386
0021200109,1610612765,Pistons,DET,Detroit,240:00,0.5,0.425,0.194,0.273,0.327,0.381,0.044,0.246
0021200110,1610612762,Jazz,UTA,Utah,240:00,0.445,0.341,0.146,0.346,0.528,0.403,0.1,0.158
0021200110,1610612738,Celtics,BOS,Boston,240:00,0.528,0.403,0.1,0.105,0.445,0.341,0.146,0.385
0021200111,1610612749,Bucks,MIL,Milwaukee,240:00,0.434,0.275,0.064,0.255,0.406,0.388,0.205,0.382
0021200111,1610612754,Pacers,IND,Indiana,240:00,0.406,0.388,0.205,0.291,0.434,0.275,0.064,0.309
0021200112,1610612740,Hornets,NOH,New Orleans,240:00,0.452,0.25,0.115,0.176,0.513,0.275,0.127,0.267
0021200112,1610612745,Rockets,HOU,Houston,240:00,0.513,0.275,0.127,0.156,0.452,0.25,0.115,0.294
